asset_id,display_name_pt,display_name_en,biome,subcategory,priority,production_phase,meshy_method,source_art_required,scale_m,grid_standard,lod0_tri_min,lod0_tri_max,texture_resolution,material_slots_max,required_sockets,design_brief,concept_prompt_path,meshy_prompt_path,texture_prompt_path
env_infernal_fortress_infernal_crystal_001,Cristal Infernal,Infernal Crystal,Infernal Fortress,prop,P1,Season 1 - Arc 3,Text to 3D,Optional,1.6,free placement on 0.25m increments,600,1600,1024x1024,2,VFX_CRYSTAL_CORE,"connected infernal crystal cluster with dark red core, broad facets and stable basalt base",Prompts/ConceptArt/env_infernal_fortress_infernal_crystal_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_crystal_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_crystal_001_texture.txt
env_infernal_fortress_infernal_gate_001,Portão Infernal,Infernal Gate,Infernal Fortress,large prop,P1,Season 1 - Arc 3,Image to 3D,Yes,5.5,4m grid,3000,7500,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; CAMERA_FOCUS; INTERACT_PRIMARY,massive infernal fortress gate of burned iron and basalt with broad segmented panels and a clear central seam,Prompts/ConceptArt/env_infernal_fortress_infernal_gate_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_gate_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_gate_001_texture.txt
env_infernal_fortress_infernal_platform_001,Plataforma Infernal,Infernal Platform,Infernal Fortress,large prop,P1,Season 1 - Arc 3,Image to 3D,Yes,5.0,4m grid,2200,5500,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; CAMERA_FOCUS,"five-meter raised basalt platform with heavy steps, iron edging and controlled rune-channel recesses",Prompts/ConceptArt/env_infernal_fortress_infernal_platform_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_platform_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_platform_001_texture.txt
env_infernal_fortress_infernal_portal_001,Portal Infernal,Infernal Portal,Infernal Fortress,hero prop,P1,Season 1 - Arc 3,Image to 3D,Yes,4.5,free placement on 0.25m increments,3000,8000,1024x1024,2,VFX_PORTAL_CORE; CAMERA_FOCUS; INTERACT_PRIMARY,monumental basalt-and-iron portal frame with an empty central opening and sockets for Unity energy effects,Prompts/ConceptArt/env_infernal_fortress_infernal_portal_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_portal_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_portal_001_texture.txt
env_infernal_fortress_infernal_wall_corner_001,Canto Infernal,Infernal Wall Corner,Infernal Fortress,wall,P1,Season 1 - Arc 3,Image to 3D,Yes,4.0,4m grid,1700,4800,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,"90-degree 4 meter modular infernal wall corner with basalt blocks, iron braces and clean snap edges",Prompts/ConceptArt/env_infernal_fortress_infernal_wall_corner_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_wall_corner_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_wall_corner_001_texture.txt
env_infernal_fortress_infernal_wall_straight_001,Muralha Infernal,Infernal Wall,Infernal Fortress,wall,P1,Season 1 - Arc 3,Image to 3D,Yes,4.0,4m grid,1500,4200,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W,straight 4 meter modular infernal wall with broad basalt construction and restrained wedge ornament,Prompts/ConceptArt/env_infernal_fortress_infernal_wall_straight_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_infernal_wall_straight_001_geometry.txt,Prompts/Texture/env_infernal_fortress_infernal_wall_straight_001_texture.txt
env_infernal_fortress_lava_channel_bend_001,Curva de Canal de Lava,Lava Channel Bend,Infernal Fortress,tile,P1,Season 1 - Arc 3,Text to 3D,Optional,4.0,4m grid,800,2000,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; VFX_LAVA,90-degree 4 meter floor channel module with basalt banks and empty recessed bed for animated Unity lava shader,Prompts/ConceptArt/env_infernal_fortress_lava_channel_bend_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_lava_channel_bend_001_geometry.txt,Prompts/Texture/env_infernal_fortress_lava_channel_bend_001_texture.txt
env_infernal_fortress_lava_channel_straight_001,Canal de Lava Reto,Straight Lava Channel,Infernal Fortress,tile,P1,Season 1 - Arc 3,Text to 3D,Optional,4.0,4m grid,700,1800,1024x1024,2,SNAP_GRID_BASE; SNAP_N; SNAP_E; SNAP_S; SNAP_W; VFX_LAVA,straight 4 meter floor channel module with basalt banks and empty recessed bed for animated Unity lava shader,Prompts/ConceptArt/env_infernal_fortress_lava_channel_straight_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_lava_channel_straight_001_geometry.txt,Prompts/Texture/env_infernal_fortress_lava_channel_straight_001_texture.txt
env_infernal_fortress_lava_fall_001,Cascata de Lava,Lava Fall,Infernal Fortress,environment effect mesh,P1,Season 1 - Arc 3,Image to 3D,Yes,5.0,free placement on 0.25m increments,1000,3000,1024x1024,2,VFX_LAVA,"solid rock frame and ledge for a five-meter lava fall, with an empty waterfall volume reserved for Unity VFX mesh or shader",Prompts/ConceptArt/env_infernal_fortress_lava_fall_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_lava_fall_001_geometry.txt,Prompts/Texture/env_infernal_fortress_lava_fall_001_texture.txt
env_infernal_fortress_spike_barricade_001,Barricada de Espinhos,Spike Barricade,Infernal Fortress,prop,P1,Season 1 - Arc 3,Text to 3D,Optional,2.5,free placement on 0.25m increments,1100,2800,1024x1024,2,CAMERA_FOCUS optional,"broad infernal barricade with thick burned-iron stakes, basalt base and mobile-safe wedge shapes",Prompts/ConceptArt/env_infernal_fortress_spike_barricade_001_concept_sheet.txt,Prompts/Meshy/env_infernal_fortress_spike_barricade_001_geometry.txt,Prompts/Texture/env_infernal_fortress_spike_barricade_001_texture.txt
